Level,Trait,Taxonomy,a2_ACE,a2_ACE_lower_CI,a2_ACE_upper_CI,c2_ACE,c2_ACE_lower_CI,c2_ACE_upper_CI,e2_ACE,e2_ACE_lower_CI,e2_ACE_upper_CI,CE_to_ACE_p,FDR_all,FDR_collapsed,falconer_h2,mz_icc,dz_icc,Longitudinal_icc,Longitudinal_spearman
OTU,New.0.CleanUp.ReferenceOTU15834,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.146101086,0.076293976,0.214433383,1.70E-13,NA,0.128530377,0.853898914,0.785566617,0.923706024,0.066731226,0.379885594,NA,0.246609239,0.160100767,0.036796147,0.266723143,0.258905776
OTU,175559,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.145927718,0.077342383,0.213037214,2.12E-09,NA,0.157114078,0.85407228,0.786962449,0.922657615,0.170876025,0.532786095,NA,0.184552788,0.154765449,0.062489055,0.249640589,0.235124772
Phylum,k__Bacteria.p__Verrucomicrobia,NA,0.145475218,0.010838728,0.214040845,2.76E-14,NA,0.105584817,0.854524782,0.78595927,0.924523278,0.038704515,0.298886751,0.133595741,0.292502736,0.166643936,0.020392568,0.389099953,0.385780977
OTU,366794,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.143651437,0.074536333,0.211290726,8.14E-13,NA,0.156566698,0.856348563,0.788709274,0.925463667,0.191656261,0.565984896,NA,0.169569378,0.149990096,0.065205407,0.26730247,0.254172886
OTU,197970,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.143564812,6.00E-37,0.245592915,0.030471272,NA,0.186967503,0.825963916,0.754403494,0.901807057,0.218514848,0.615101672,NA,0.142155095,0.174480103,0.103402556,0.419927529,0.411293994
OTU,174840,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.143516285,3.05E-38,0.237064294,0.021988546,NA,0.177815843,0.83449517,0.762931427,0.911201625,0.219082478,0.615101672,NA,0.1365019,0.164345546,0.096094596,0.375112512,0.368528391
OTU,New.0.ReferenceOTU177,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__,0.143512978,0.073565726,0.211961634,6.35E-10,NA,0.150236114,0.856487022,0.788038026,0.926434274,0.15345542,0.514593001,NA,0.176174783,0.149441989,0.061354597,0.271049322,0.262501509
OTU,4153054,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.143436701,1.46E-33,0.290723318,0.077700585,3.05E-25,0.234894017,0.778862714,0.709129889,0.851610147,0.212226143,0.602263379,NA,0.162477241,0.22687116,0.14563254,0.555863008,0.527818224
OTU,4420408,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis,0.143145838,0.073011299,0.211826623,9.09E-13,NA,0.126629206,0.856854162,0.788173377,0.926988701,0.069005876,0.385316362,NA,0.241017203,0.157563655,0.037055053,0.50169272,0.476297604
OTU,180999,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.14265157,2.22E-32,0.213846662,4.65E-15,NA,0.115156243,0.85734843,0.786151509,0.930103651,0.059971389,0.367653207,NA,0.227148185,0.151925951,0.038351859,0.342445439,0.321703826
OTU,4436552,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,0.14214048,1.68E-29,0.220128829,0.007710853,NA,0.163068497,0.850148667,0.781528686,0.926653766,0.226125322,0.621945316,NA,0.135701522,0.148830502,0.080979742,0.513222705,0.369099227
OTU,185814,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.141676967,5.53E-19,0.215583014,0.004583276,NA,0.160928499,0.853739757,0.784416467,0.930145728,0.23003164,0.630086666,NA,0.142338835,0.146992977,0.07582356,0.374176348,0.384882084
OTU,350503,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.141662702,1.27E-33,0.272627071,0.059879825,6.61E-38,0.215848312,0.798457473,0.727371645,0.872515985,0.22108989,0.61685304,NA,0.151902167,0.205096448,0.129145364,0.726710201,0.662005957
OTU,193969,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.141370921,0.071682737,0.209653659,4.48E-12,NA,0.12239034,0.858629079,0.790346341,0.928317262,0.063569462,0.377818501,NA,0.255650597,0.158472485,0.030647187,0.428040589,0.391262998
OTU,New.0.ReferenceOTU238,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.141176326,0.072114952,0.208877639,1.66E-11,NA,0.113618337,0.858823674,0.791122361,0.927885048,0.050528557,0.331593655,NA,0.284907673,0.162798663,0.020344827,0.231254301,0.219165715
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.Other,NA,0.141128005,NA,0.248621919,0.034311207,NA,0.187385482,0.824560789,0.751378163,0.902239822,0.223608538,0.621500201,0.449977675,0.125447809,0.17186223,0.109138326,0.458029546,0.47415016
OTU,191872,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.14095637,0.07096548,0.209574166,8.19E-14,NA,0.099492377,0.85904363,0.790425835,0.92903452,0.036368968,0.293749357,NA,0.306875221,0.163855368,0.010417758,0.194796221,0.186756403
OTU,189937,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.140770955,0.072108599,0.208046228,7.96E-12,NA,0.141123276,0.859229045,0.791953772,0.927891401,0.106176812,0.452737164,NA,0.224195246,0.154930382,0.042832759,0.303023182,0.297249942
OTU,3393191,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__,0.140106808,0.070911532,0.207929041,1.05E-14,NA,0.123942553,0.859893192,0.792070959,0.929088468,0.066224526,0.379885594,NA,0.261185381,0.157501609,0.026908919,0.283983817,0.269993143
OTU,192983,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.139513175,0.070677761,0.206922311,6.53E-09,NA,0.157793728,0.860486818,0.793077687,0.929322195,0.2386853,0.640603872,NA,0.157720316,0.145326639,0.066466481,0.201630159,0.203721797
Class,k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae,NA,0.139382598,0.003649913,0.20813211,5.82E-13,NA,0.106463176,0.860617402,0.79186789,0.930740523,0.045923079,0.317035035,0.133595741,0.283564828,0.160142074,0.01835966,0.377680317,0.375793529
Order,k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales,NA,0.139382598,0.003649913,0.20813211,5.82E-13,NA,0.106463176,0.860617402,0.79186789,0.930740523,0.045923079,0.317035035,0.133595741,0.283564828,0.160142074,0.01835966,0.377680317,0.375793529
Family,k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae,NA,0.139382598,0.003649913,0.20813211,5.82E-13,NA,0.106463176,0.860617402,0.79186789,0.930740523,0.045923079,0.317035035,0.133595741,0.283564828,0.160142074,0.01835966,0.377680317,0.375793529
Genus,k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia,NA,0.139382598,0.003649913,0.20813211,5.82E-13,NA,0.106463176,0.860617402,0.79186789,0.930740523,0.045923079,0.317035035,0.133595741,0.283564828,0.160142074,0.01835966,0.377680317,0.375793529
OTU,4483337,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.138428799,0.067412348,0.207970344,5.54E-14,NA,0.138264025,0.861571201,0.792029656,0.932587648,0.120710466,0.469412685,NA,0.186613661,0.145014487,0.051707656,0.431782304,0.415267114
OTU,174911,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.138019188,7.03E-33,0.261194763,0.051480384,9.08E-37,0.205107096,0.810500428,0.738804001,0.885219603,0.234817516,0.635823933,NA,0.143545548,0.191805285,0.120032511,0.652143188,0.612063317
OTU,177134,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.137828315,5.98E-33,0.256601474,0.048541353,2.67E-44,0.204271236,0.813630332,0.743395659,0.886793483,0.240845305,0.641123418,NA,0.159886826,0.192966332,0.113022919,0.453797613,0.432909741
OTU,188676,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,0.137781201,2.61E-35,0.224039033,0.014705112,NA,0.166792233,0.847513686,0.775969105,0.92447761,0.239601988,0.640603872,NA,0.127740354,0.149445698,0.085575521,0.474935658,0.436272206
OTU,199534,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.137606951,0.068176535,0.20567427,5.07E-10,NA,0.128591616,0.862393048,0.794325649,0.931823464,0.080644513,0.413127697,NA,0.241006386,0.153511694,0.0330085,0.715518754,0.67352004
OTU,4419459,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.137460987,2.14E-30,0.227043871,0.018987418,NA,0.172909054,0.843551595,0.774733288,0.912128008,0.242861173,0.641338582,NA,0.140235983,0.15805445,0.087936458,0.412608546,0.361509095
OTU,184525,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.137321265,1.54E-35,0.204909762,2.15E-11,NA,0.156149886,0.862678735,0.795090238,0.9317008,0.24510033,0.641338582,NA,0.153866036,0.142742724,0.065809705,0.361778191,0.342569232
OTU,179267,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.136954095,2.37E-19,0.205406837,1.18E-14,NA,0.146190642,0.863045905,0.794592849,0.933002445,0.163736874,0.526297095,NA,0.174819954,0.143749161,0.056339184,0.399198525,0.395443511
OTU,4433947,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.136331522,0.025708183,0.206039663,6.10E-13,NA,0.081762637,0.863668478,0.793960356,0.93469476,0.024534984,0.231855599,NA,0.3455334,0.164684843,-0.008081857,0.466493018,0.47501536
OTU,193528,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.136329561,NA,0.206424417,1.18E-12,NA,0.14182897,0.863670439,0.793575583,0.93525942,0.156807103,0.51924175,NA,0.160146904,0.138746396,0.058672944,0.620584379,0.612304644
OTU,New.0.CleanUp.ReferenceOTU38535,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.136000744,0.067348413,0.203299072,1.28E-14,NA,0.146410594,0.863999256,0.796700928,0.932651587,0.156034386,0.51924175,NA,0.194310142,0.147032436,0.049877365,0.254583813,0.248046196
OTU,197274,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.135584073,7.77E-42,0.279477546,0.074447044,4.07E-39,0.228245739,0.789968883,0.720448261,0.862344574,0.243569915,0.641338582,NA,0.164165029,0.217109732,0.135027218,0.545344088,0.547773211
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister,NA,0.135037299,0.064238666,0.204450827,4.12E-11,NA,0.121001369,0.864962701,0.795549172,0.935761228,0.074443688,0.399425537,0.195714857,0.23552159,0.149246014,0.031485219,0.659416793,0.611692136
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus.,NA,0.134977518,4.35E-35,0.275993133,0.070780778,7.51E-34,0.223531808,0.794241704,0.72399293,0.867289558,0.244484695,0.641338582,0.47441673,0.154769556,0.211525612,0.134140834,0.333808335,0.311048173
OTU,173996,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.134944386,0.065281939,0.203226043,1.30E-11,NA,0.142300589,0.865055614,0.796773957,0.934718061,0.146568166,0.505499697,NA,0.187319378,0.144071456,0.050411767,0.250210611,0.247175595
OTU,352747,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.134675937,0.064810439,0.203181301,8.23E-14,NA,0.1306347,0.865324063,0.796818699,0.935189561,0.09594384,0.440130722,NA,0.222510624,0.148197812,0.0369425,0.148605824,0.150411532
OTU,183604,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.134221082,8.81E-31,0.201707632,1.94E-15,NA,0.121087848,0.865778918,0.798292368,0.934552843,0.069192598,0.385316362,NA,0.267069026,0.154555099,0.021020586,0.208090636,0.191895778
OTU,178965,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.13389029,4.55E-37,0.213680002,0.010719012,NA,0.164280611,0.855390697,0.787724757,0.92997809,0.260773492,0.655401463,NA,0.146118538,0.148327819,0.07526855,0.381983839,0.362000778
OTU,185802,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.133541205,NA,0.245014285,0.039870828,NA,0.191339766,0.826587967,0.754985421,0.901371582,0.254049362,0.655280942,NA,0.14008753,0.175406084,0.105362319,0.529721395,0.43022749
OTU,163494,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.133398697,2.33E-43,0.204545788,0.001685987,NA,0.152765921,0.864915316,0.795454446,0.941637048,0.259179638,0.655317585,NA,0.131675756,0.134662796,0.068824918,0.378406911,0.375135157
OTU,187504,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.133391451,6.25E-36,0.23169532,0.027222219,3.65E-32,0.178871713,0.839386331,0.768299223,0.914443339,0.256878302,0.655317585,NA,0.13872955,0.162639004,0.093274229,0.404459173,0.405391383
Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other,NA,0.133035979,3.14E-28,0.231164157,0.027300983,3.30E-33,0.179139819,0.839663039,0.768839045,0.914212929,0.258933781,0.655317585,0.482003034,0.140858804,0.163356171,0.092926769,0.328484505,0.33605911
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other,NA,0.133035979,3.14E-28,0.231164157,0.027300983,3.30E-33,0.179139819,0.839663039,0.768839045,0.914212929,0.258933781,0.655317585,0.482003034,0.140858804,0.163356171,0.092926769,0.328484505,0.33605911
OTU,302049,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.132643229,4.36E-43,0.283363075,0.080486563,2.10E-36,0.230852299,0.786870208,0.716428693,0.860277921,0.2490529,0.648360855,NA,0.14653348,0.217549602,0.144282862,0.382396714,0.374852641
OTU,4340358,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.132460606,0.063572944,0.200143229,3.04E-15,NA,NA,0.867539394,0.799856771,0.936427056,0.000174094,0.010224733,NA,0.35525665,0.16426859,-0.013359735,0.391734312,0.350305418
OTU,328544,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.132443981,0.062227516,0.201396112,2.94E-13,NA,0.08975236,0.867556019,0.798603888,0.937772484,0.034153985,0.28311856,NA,0.327251762,0.158624368,-0.005001513,0.234913741,0.228472626
OTU,367176,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.132415284,0.064549128,0.19898367,1.62E-12,NA,0.151944758,0.867584716,0.80101633,0.935450872,0.221283789,0.61685304,NA,0.176646055,0.143065115,0.054742088,0.304815003,0.291126153
OTU,185411,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.132377568,0.062964942,0.200433464,4.02E-11,NA,0.145760535,0.867622432,0.799566536,0.937035058,0.185840668,0.553449912,NA,0.171672597,0.140088607,0.054252309,0.259954761,0.267912438
OTU,189548,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.132263669,0.062094001,0.201145985,1.16E-13,NA,0.101444856,0.867736331,0.798854015,0.937905999,0.047639127,0.317035035,NA,0.29045742,0.154922712,0.009694002,0.500762717,0.483754095
OTU,179201,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.132093714,0.061340902,0.201471042,1.64E-11,NA,0.129941394,0.867906286,0.798528958,0.938659098,0.107010508,0.452737164,NA,0.205091617,0.142659683,0.040113875,0.321744019,0.334665391
OTU,2943548,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.131423128,NA,0.283729038,0.080524402,5.40E-29,0.228396768,0.78805247,0.716106504,0.862814398,0.250583955,0.649482476,NA,0.128515676,0.210830483,0.146572645,0.448777309,0.417153967
OTU,4372612,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.131170397,0.061378356,0.199777414,1.45E-13,NA,0.073944303,0.868829603,0.800222586,0.938621644,0.020147876,0.225301181,NA,0.393917177,0.167260337,-0.029698252,0.339105614,0.325331558
OTU,535955,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__,0.13081477,NA,0.304498257,0.107236594,NA,0.256570891,0.761948636,0.69335835,0.833765937,0.250858311,0.649482476,NA,0.157950807,0.245421413,0.166446009,0.403357004,0.384246281
OTU,113003,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.130229715,0.062518371,0.196671096,1.49E-12,NA,0.151432929,0.869770285,0.803328904,0.937481629,0.234675117,0.635823933,NA,0.17435812,0.140986787,0.053807727,0.078424503,0.074264133
OTU,182089,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.130006799,0.060719599,0.198042718,7.32E-13,NA,0.114052655,0.869993201,0.801957282,0.939280401,0.065754478,0.379885594,NA,0.270470661,0.151097803,0.015862473,0.206643255,0.200585989
OTU,4309301,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,0.129619724,1.28E-35,0.223783744,0.024187997,NA,0.175220038,0.846192279,0.779575507,0.920100774,0.275367812,0.669349933,NA,0.145027603,0.158819535,0.086305733,0.273172634,0.25825474
OTU,188127,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.129586135,3.65E-30,0.22241412,0.022103776,NA,0.171799764,0.848310089,0.777585671,0.922651985,0.272722474,0.665950227,NA,0.1362943,0.153793906,0.085646755,0.211548085,0.204748608
OTU,363735,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.129369565,1.30E-18,0.214842959,0.015963084,NA,0.166890411,0.854667352,0.785156744,0.928913112,0.27750471,0.672415259,NA,0.143205559,0.149623646,0.078020866,0.448048006,0.445754833
OTU,181074,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__cc_115; s__,0.129167527,1.50E-37,0.253052819,0.051107356,2.66E-37,0.198601472,0.819725117,0.746945294,0.895293286,0.266024211,0.663614189,NA,0.126524461,0.180430754,0.117168524,0.426912897,0.384408698
OTU,208539,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__,0.128561699,0.058606708,0.197229345,1.05E-13,NA,0.124316115,0.871438301,0.802770655,0.941393292,0.093962053,0.440130722,NA,0.230129131,0.143310911,0.028246345,0.476443026,0.467460533
OTU,4094259,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.128360186,0.059674262,0.195931412,6.12E-13,NA,0.07350257,0.871639814,0.804068588,0.940325738,0.020468951,0.225301181,NA,0.412573198,0.167345747,-0.038940852,0.201737236,0.184396487
OTU,186772,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,0.128169458,0.029600205,0.197023315,1.26E-12,NA,0.121299754,0.871830542,0.802976685,0.941932753,0.087171116,0.429045337,NA,0.235328214,0.143923403,0.026259295,0.422815925,0.404453397
OTU,184342,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.127916563,2.23E-26,0.197210639,1.04E-13,NA,0.130039799,0.872083437,0.802789363,0.943071857,0.122230918,0.469412685,NA,0.197945303,0.138170854,0.039198202,0.379582963,0.365111276
OTU,4343627,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis,0.125864133,0.056105144,0.194442195,4.34E-12,NA,0.093022585,0.874135867,0.805557805,0.943894856,0.043591993,0.317035035,NA,0.31611101,0.153040068,-0.005015436,0.609091519,0.601841634
OTU,4381430,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,0.125820177,9.78E-32,0.212526732,0.016376762,NA,0.163963778,0.857803061,0.787644147,0.932853336,0.288324795,0.691289178,NA,0.131912553,0.144818709,0.078862432,0.343610757,0.323965406
OTU,191442,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.125408677,5.43E-30,0.210056541,0.015175807,NA,0.163772052,0.859415516,0.789943252,0.933305152,0.293413336,0.691460355,NA,0.139282788,0.14514658,0.075505186,0.263206728,0.254807721
OTU,188333,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,0.125309494,0.055091229,0.194290153,4.99E-11,NA,0.1132011,0.874690506,0.805709847,0.944908771,0.074813037,0.399425537,NA,0.253331604,0.143966471,0.017300669,0.221604603,0.224329271
OTU,197004,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.125065287,2.87E-36,0.196236534,1.72E-13,NA,0.127177732,0.874934713,0.803763483,0.947480491,0.135560708,0.488949882,NA,0.172707218,0.129996697,0.043643088,0.395335019,0.375925961
OTU,194660,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia,0.124864047,0.05560792,0.192855557,3.01E-12,NA,0.140260332,0.875135953,0.807144443,0.94439208,0.192813966,0.5676299,NA,0.173223461,0.133926655,0.047314925,0.236006124,0.250661787
OTU,180312,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.12449822,0.055067911,0.192672099,2.62E-13,NA,0.135870643,0.87550178,0.807327901,0.944932089,0.162356273,0.523640539,NA,0.186968987,0.135060745,0.041576251,0.233415674,0.25327633
OTU,178773,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.124195788,0.055063203,0.192133653,1.70E-13,NA,0.118929148,0.875804212,0.807866347,0.944936797,0.086157087,0.426274593,NA,0.251779157,0.143733341,0.017843763,0.666591191,0.582300225
OTU,New.0.CleanUp.ReferenceOTU36443,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.124109037,0.055131689,0.191848559,1.86E-12,NA,0.137858072,0.875890963,0.808151441,0.944868311,0.174341208,0.532786095,NA,0.186206263,0.134925425,0.041822293,0.239182304,0.236794236
OTU,New.0.CleanUp.ReferenceOTU34725,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.123342429,0.056474292,0.189088377,2.11E-13,NA,0.131512455,0.876657571,0.810911623,0.943525708,0.119139254,0.469412685,NA,0.24865682,0.144578829,0.020250419,0.277949053,0.260818261
OTU,180468,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.123109089,7.48E-36,0.190609181,2.02E-12,NA,0.109214386,0.876890911,0.809386588,0.945536354,0.066687445,0.379885594,NA,0.286045748,0.147495848,0.004472974,0.358354293,0.409746161
OTU,4431545,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.122934568,NA,0.272509867,0.079542484,NA,0.224982052,0.797522948,0.727317591,0.870124947,0.290164518,0.691289178,NA,0.146034306,0.208242073,0.13522492,0.317320544,0.294241568
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus,NA,0.122783594,0.053731274,0.190689754,1.51E-12,NA,0.104405099,0.877216406,0.809310246,0.946268726,0.061081009,0.367653207,0.165936741,0.291977643,0.147396272,0.001407451,0.417639073,0.385920179
OTU,187924,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.122725588,0.052725681,0.191490451,2.82E-13,NA,0.125788629,0.877274412,0.808509549,0.947274319,0.119534209,0.469412685,NA,0.211313142,0.136031202,0.030374631,0.230586218,0.232829822
OTU,2250985,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__,0.12263706,0.052865591,0.191201899,6.58E-15,NA,0.11935702,0.87736294,0.808798101,0.947134409,0.094559629,0.440130722,NA,0.237215423,0.139778821,0.02117111,0.206229146,0.206104282
OTU,New.0.CleanUp.ReferenceOTU45098,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.122486359,6.11E-30,0.19064451,2.79E-09,NA,0.146489143,0.877513638,0.809355448,0.946946407,0.299858308,0.699669385,NA,0.136021037,0.126147997,0.058137478,0.276507167,0.2806093
OTU,2876801,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis,0.12242555,3.63E-34,0.192526196,0.002237271,NA,0.14999459,0.875337179,0.807869676,0.944074718,0.309881969,0.710038638,NA,0.138831065,0.129850891,0.060435358,0.355932404,0.263651241
Phylum,Unassigned.Other,NA,0.122278118,3.14E-35,0.256955254,0.062391309,9.97E-33,0.206242636,0.815330572,0.74304866,0.889759687,0.292609176,0.691289178,0.507396763,0.126819585,0.186589821,0.123180029,0.383166871,0.333253536
Class,Unassigned.Other.Other,NA,0.122278118,3.14E-35,0.256955254,0.062391309,9.97E-33,0.206242636,0.815330572,0.74304866,0.889759687,0.292609176,0.691289178,0.507396763,0.126819585,0.186589821,0.123180029,0.383166871,0.333253536
Order,Unassigned.Other.Other.Other,NA,0.122278118,3.14E-35,0.256955254,0.062391309,9.97E-33,0.206242636,0.815330572,0.74304866,0.889759687,0.292609176,0.691289178,0.507396763,0.126819585,0.186589821,0.123180029,0.383166871,0.333253536
