Level,Trait,Taxonomy,a2_ACE,a2_ACE_lower_CI,a2_ACE_upper_CI,c2_ACE,c2_ACE_lower_CI,c2_ACE_upper_CI,e2_ACE,e2_ACE_lower_CI,e2_ACE_upper_CI,CE_to_ACE_p,FDR_all,FDR_collapsed,falconer_h2,mz_icc,dz_icc,Longitudinal_icc,Longitudinal_spearman
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__,NA,0.32186914,0.168440374,0.384590464,1.11E-14,NA,0.124206105,0.67813086,0.615409536,0.744091796,0.000380058,0.014366192,0.004129964,0.395379014,0.3302857,0.132596193,0.500603554,0.519263105
Order,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales,NA,0.315555364,0.182799667,0.377969215,1.14E-11,NA,0.106749847,0.684444636,0.622030794,0.749948616,0.000183937,0.010224733,0.003331303,0.451976792,0.334854253,0.108865857,0.499903855,0.487179593
Family,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae,NA,0.315555364,0.182799667,0.377969215,1.14E-11,NA,0.106749847,0.684444636,0.622030794,0.749948616,0.000183937,0.010224733,0.003331303,0.451976792,0.334854253,0.108865857,0.499903855,0.487179593
Class,k__Bacteria.p__Tenericutes.c__Mollicutes,NA,0.31507938,0.249369809,0.377647811,2.23E-12,NA,0.138583884,0.68492062,0.62235219,0.750630188,0.000911833,0.030774364,0.008188871,0.376996059,0.323812896,0.135314867,0.532429108,0.512593468
Genus,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium,NA,0.314372129,0.179919307,0.376884357,9.80E-13,NA,0.108189354,0.685627871,0.623115645,0.751223529,0.000210531,0.011052878,0.003352596,0.445697963,0.33287679,0.110027808,0.499358155,0.486876764
Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae,NA,0.308711403,0.100090952,0.426490102,0.055610783,2.10E-39,0.231441141,0.635677813,0.573509173,0.702565824,0.003600173,0.077321897,0.023473128,0.329418733,0.370486503,0.205777136,0.510364851,0.503532963
Order,k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39,NA,0.307404031,0.091023427,0.374862663,0.004403031,NA,0.184394291,0.688192938,0.625137471,0.758846534,0.005271561,0.095800484,0.029629808,0.309405662,0.313063979,0.158361148,0.518195758,0.494652123
Family,k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__,NA,0.307404031,0.091023427,0.374862663,0.004403031,NA,0.184394291,0.688192938,0.625137471,0.758846534,0.005271561,0.095800484,0.029629808,0.309405662,0.313063979,0.158361148,0.518195758,0.494652123
Genus,k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__,NA,0.307404031,0.091023427,0.374862663,0.004403031,NA,0.184394291,0.688192938,0.625137471,0.758846534,0.005271561,0.095800484,0.029629808,0.309405662,0.313063979,0.158361148,0.518195758,0.494652123
Class,k__Bacteria.p__Actinobacteria.c__Actinobacteria,NA,0.307150115,0.161592598,0.369800713,2.89E-13,NA,0.118396641,0.692849885,0.630199288,0.758506732,0.000476349,0.017313454,0.004852805,0.420883582,0.324090941,0.11364915,0.496022566,0.482963936
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia,NA,0.300725295,0.084982093,0.372068274,0.007189642,NA,0.184918579,0.692085064,0.627929549,0.763827448,0.006236025,0.100623408,0.031764752,0.287750052,0.304885189,0.161010163,0.453584547,0.452553355
Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae,NA,0.298202233,0.151457786,0.36286975,1.82E-13,NA,0.116112526,0.701797767,0.637130266,0.769580853,0.000679179,0.023771265,0.006512128,0.36860112,0.303477119,0.119176559,0.485061872,0.50234712
Class,k__Bacteria.p__Tenericutes.c__RF3,NA,0.296247121,0.229527809,0.360013751,2.71E-13,NA,0.100370596,0.703752879,0.639986249,0.770472191,0.000287953,0.011831112,0.003352596,0.437500442,0.314815374,0.096065153,0.523167556,0.493304429
Order,k__Bacteria.p__Tenericutes.c__RF3.o__ML615J.28,NA,0.296247121,0.229527809,0.360013751,2.71E-13,NA,0.100370596,0.703752879,0.639986249,0.770472191,0.000287953,0.011831112,0.003352596,0.437500442,0.314815374,0.096065153,0.523167556,0.493304429
Family,k__Bacteria.p__Tenericutes.c__RF3.o__ML615J.28.f__,NA,0.296247121,0.229527809,0.360013751,2.71E-13,NA,0.100370596,0.703752879,0.639986249,0.770472191,0.000287953,0.011831112,0.003352596,0.437500442,0.314815374,0.096065153,0.523167556,0.493304429
Genus,k__Bacteria.p__Tenericutes.c__RF3.o__ML615J.28.f__.g__,NA,0.296247121,0.229527809,0.360013751,2.71E-13,NA,0.100370596,0.703752879,0.639986249,0.770472191,0.000287953,0.011831112,0.003352596,0.437500442,0.314815374,0.096065153,0.523167556,0.493304429
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium,NA,0.29416747,0.083758901,0.414077073,0.056900206,6.81E-26,0.233825435,0.648932324,0.585923509,0.716564141,0.005978863,0.100623408,0.031437247,0.314612049,0.357167545,0.199861521,0.500032038,0.495006135
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__,NA,0.293049782,0.094601203,0.358006335,2.07E-15,NA,0.160204657,0.706950218,0.641990197,0.778825802,0.004842763,0.093396144,0.029629808,0.279893035,0.286355125,0.146408608,0.423951677,0.416897405
OTU,553080,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.291423793,0.103040068,0.354744847,1.55E-10,NA,0.179418782,0.708576207,0.645255162,0.774838433,0.008260893,0.123913395,NA,0.301786685,0.29470028,0.143806938,0.562547847,0.558463201
OTU,New.0.CleanUp.ReferenceOTU37671,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.29012813,0.225154331,0.35233901,2.68E-12,NA,0.145885723,0.70987187,0.64766099,0.774845669,0.002595682,0.059827305,NA,0.390113328,0.30932843,0.114271766,0.438867175,0.450759519
Phylum,k__Archaea.p__Euryarchaeota,NA,0.2770449,0.075127679,0.439815583,0.103084092,1.25E-28,0.269925288,0.619871008,0.557203266,0.68775292,0.007070873,0.109540574,0.034925827,0.257530246,0.375757764,0.246992641,0.710496288,0.649622563
OTU,4408801,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.275190931,0.20975331,0.337984005,6.22E-13,NA,0.15850681,0.724809069,0.662015995,0.79024669,0.006282308,0.100623408,NA,0.355626711,0.291783089,0.113969733,0.42316445,0.41835061
OTU,New.0.CleanUp.ReferenceOTU12765,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter; s__,0.273844487,0.066616844,0.415959945,0.07814719,1.39E-23,0.24913001,0.648008323,0.583535059,0.710505182,0.009502529,0.138152152,NA,0.25869071,0.348713048,0.219367693,0.694249669,0.631357111
OTU,4412540,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.268386077,0.051315259,0.365216462,0.031041454,NA,0.211383219,0.70057247,0.634782633,0.771609837,0.015251182,0.194761716,NA,0.274360622,0.301886342,0.164706032,0.599753229,0.575197746
OTU,4402903,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.267543836,0.200471069,0.331954307,2.97E-12,NA,0.120256578,0.732456164,0.668045693,0.799528931,0.002119918,0.057505697,NA,0.378592041,0.284129781,0.09483376,0.430499547,0.425609379
OTU,72820,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__,0.264100503,0.08624125,0.329918682,1.64E-13,NA,0.143027144,0.735899497,0.670081318,0.804513055,0.006131643,0.100623408,NA,0.296211462,0.265990112,0.117884381,0.517694707,0.518019308
